id_poi;poi;ville;categorie;found;source;description
8;Silleron et Iclon à VTT;Angiens;activity;True;DuckDuckGo;à ANGIENS. Silleron et Iclon à VTT. Distance11,0 km. À télécharger.
119;Gare de Longroy-Gamaches;Longroy;activity;False;;
135;Le Fournil du Lin;Doudeville;shop;True;DuckDuckGo;Accueil Manger Commerces Boulangerie le Fournil du Lin.2 place du Général de Gaulle BP35 - 76560 Doudeville.
142;Circuit du Tournant;Petit-Caux;activity;False;;
180;Le Bois de la Brétèque;Écalles-Alix;activity;True;DuckDuckGo;Le Bois de la Brétèque à VTT - à Écalles-Alix, Seine-Maritime - Toutes les infos sur l’évènement sont sur Lokaly.
213;Bodega Le Havre;Le Havre;food;True;DuckDuckGo;Bodega, Le Havre : consultez avis authentiques sur Bodega sur Tripadvisor.22 Rue Bernardin De Saint-pierre, 76600, Le Havre France. Site WebAméliorer cette page établissement. À propos.
217;La Chevrette;Forges-les-Eaux;activity;True;DuckDuckGo;Du fer à l'eau, Forges-les-Eaux s'est de tout temps frotté aux éléments. Ce circuit de la Chevrette marche sur les chemins de cette histoire.
222;Gare de Bolbec;Bolbec;activity;True;DuckDuckGo;La gare de Bolbec - Nointot est une gare ferroviaire française de la ligne de Paris-Saint-Lazare au Havre, située au lieu-dit Hameau de la Station sur le territoire de la commune de Bolbec, à proximité de Nointot, dans le département de la Seine-Maritime en région Normandie.
226;Les clos masures;Lillebonne;activity;True;DuckDuckGo;My Tourisme Circuits Les clos masures – Lillebonne.Circuit, Circuit pédestre, Lillebonne. Type: En boucle. Distance: 9200.0. Durée: 180mn. Allée du Catillon, 76170 Lillebonne.
252;Jardin des Fontaines;Eu;nature;False;;
259;Grumesnil;Grumesnil;activity;True;DuckDuckGo;Château de Grumesnil, des XVII e et XIXe siècles et sa grange du XVe siècle[1]. Un circuit de randonnée permet de les découvrir[1]. Ferme d'archéologie expérimentale Gröning, consacfrée aux Vikings[38].
260;Circuit du manoir au Val;Freulleville;activity;True;DuckDuckGo;seine-maritime : tous les circuits de randonnée du département. Trouver un hébergement pour randonneur dans le 76.Carte topographique de cette randonnée. FREULLEVILLE - CIRCUIT DU MANOIR DU VAL-seine-maritime. Circuit gps de marche publié le : 11-04-2024.
324;NAMONT Béatrice;Le Tréport;accommodation;True;DuckDuckGo;Hébergements locatifs. à LE TREPORT. NAMONT Béatrice. À propos. Capacité.
329;La Plaine du Moulin;Le Mesnil-Durdent;activity;True;DuckDuckGo;La Plaine du Moulin à VTT au Mesnil-Durdent Vtt et Vélo Circuits et balades avec l'itinéraire, la carte et la localisation de la promenade
333;Gare de Le Houlme;Le Houlme;activity;False;;
